분석아이디,학교명,위도,경도,위험지역 사유,기타 상세 사유,행위 구분,데이터기준일자
6118,대정초등학교,33.22369846,126.2550237,기타,교차로에 차들이 많아서 그냥 지나가는 차들도 있음,등교,2021-01-25
6119,대정초등학교,33.22575253,126.2538155,길 주변에 깨진 병 조각 같은 위험한 물건이 많음,해당없음,하교,2021-01-25
6119,대정초등학교,33.2257523,126.2545289,신호등이 없음,해당없음,등교,2021-01-25
6119,대정초등학교,33.22563114,126.2546211,신호등이 없음,해당없음,등교,2021-01-25
6119,대정초등학교,33.22456278,126.2546302,신호등이 없음,해당없음,등교,2021-01-25
6119,대정초등학교,33.22139263,126.2569165,신호등이 없음,해당없음,활동,2021-01-25
6119,대정초등학교,33.21955247,126.2567711,신호등이 없음,해당없음,활동,2021-01-25
6119,대정초등학교,33.22147594,126.2603055,신호등이 없음,해당없음,활동,2021-01-25
6120,대정초등학교,33.22359388,126.2522449,신호등이 없음,해당없음,등교,2021-01-25
6122,대정초등학교,33.21901587,126.2580696,신호등이 없음,해당없음,활동,2021-01-25
6124,대정초등학교,33.22593998,126.252937,신호등이 없음,해당없음,하교,2021-01-25
6125,대정초등학교,33.22353643,126.255068,기타,횡단조도의 차들이 세워져 있음.,등교,2021-01-25
6126,대정초등학교,33.22314069,126.2567367,기타,가는길에 차량혼잡,활동,2021-01-25
6126,대정초등학교,33.22083917,126.254828,"나쁜 형, 아저씨 있음",해당없음,활동,2021-01-25
6126,대정초등학교,33.22309867,126.2572493,신호등이 없음,해당없음,등교,2021-01-25
6126,대정초등학교,33.22308952,126.257228,신호등이 없음,해당없음,하교,2021-01-25
6126,대정초등학교,33.22325897,126.258428,신호등이 없음,해당없음,하교,2021-01-25
6132,새서귀초등학교,33.25668599,126.5095465,신호등이 없음,해당없음,등교,2021-01-25
6135,새서귀초등학교,33.25773949,126.5137796,차가 다니는 길가로만 다닐 수 있음,해당없음,등교,2021-01-25
6136,새서귀초등학교,33.25855949,126.5102121,신호등이 없음,해당없음,등교,2021-01-25
6148,새서귀초등학교,33.25377719,126.5560665,신호등이 없음,해당없음,등교,2021-01-25
6148,새서귀초등학교,33.26137936,126.5062309,신호등이 없음,해당없음,등교,2021-01-25
6148,새서귀초등학교,33.26188751,126.5162304,신호등이 없음,해당없음,등교,2021-01-25
6148,새서귀초등학교,33.26329074,126.5294665,신호등이 없음,해당없음,하교,2021-01-25
6148,새서귀초등학교,33.26332676,126.5390825,신호등이 없음,해당없음,하교,2021-01-25
6148,새서귀초등학교,33.26240231,126.5234611,신호등이 없음,해당없음,하교,2021-01-25
6150,예래초등학교,33.25318579,126.5548864,횡단보도 초록불 신호가 너무 짧음,해당없음,하교,2021-01-25
6151,강정초등학교,33.23453341,126.4796911,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,활동,2021-01-25
6151,강정초등학교,33.23383188,126.4795665,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,활동,2021-01-25
6151,강정초등학교,33.23467999,126.4797064,신호등이 없음,해당없음,등교,2021-01-25
6151,강정초등학교,33.23454462,126.479675,신호등이 없음,해당없음,하교,2021-01-25
6151,강정초등학교,33.23225315,126.479356,신호등이 없음,해당없음,하교,2021-01-25
6151,강정초등학교,33.23223293,126.4793722,신호등이 없음,해당없음,활동,2021-01-25
6151,강정초등학교,33.23218109,126.4793725,신호등이 없음,해당없음,활동,2021-01-25
6151,강정초등학교,33.23325474,126.4795431,인도에 차가 서 있음,해당없음,등교,2021-01-25
6151,강정초등학교,33.23223493,126.4793131,차가 다니는 길가로만 다닐 수 있음,해당없음,등교,2021-01-25
6151,강정초등학교,33.2332546,126.479511,차가 다니는 길가로만 다닐 수 있음,해당없음,하교,2021-01-25
6151,강정초등학교,33.23327027,126.479484,차가 다니는 길가로만 다닐 수 있음,해당없음,활동,2021-01-25
6151,강정초등학교,33.23324565,126.4795271,차가 다니는 길가로만 다닐 수 있음,해당없음,활동,2021-01-25
6152,강정초등학교,33.23423444,126.4796165,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,등교,2021-01-25
6152,강정초등학교,33.23422982,126.4795897,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,하교,2021-01-25
6152,강정초등학교,33.23420539,126.4796783,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,활동,2021-01-25
6152,강정초등학교,33.23428373,126.4795464,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,활동,2021-01-25
6152,강정초등학교,33.23418691,126.4795711,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,활동,2021-01-25
6152,강정초등학교,33.23342248,126.4794979,신호등이 없음,해당없음,등교,2021-01-25
6152,강정초등학교,33.23338163,126.4794338,신호등이 없음,해당없음,하교,2021-01-25
6152,강정초등학교,33.23339061,126.479423,신호등이 없음,해당없음,활동,2021-01-25
6152,강정초등학교,33.23342849,126.4793181,신호등이 없음,해당없음,활동,2021-01-25
6152,강정초등학교,33.23335694,126.479458,신호등이 없음,해당없음,활동,2021-01-25
6152,강정초등학교,33.2320602,126.4793021,인도에 차가 서 있음,해당없음,등교,2021-01-25
6152,강정초등학교,33.23212768,126.4792695,인도에 차가 서 있음,해당없음,하교,2021-01-25
6152,강정초등학교,33.23190464,126.479295,인도에 차가 서 있음,해당없음,활동,2021-01-25
6152,강정초등학교,33.23210943,126.479216,인도에 차가 서 있음,해당없음,활동,2021-01-25
6152,강정초등학교,33.23206661,126.4792189,인도에 차가 서 있음,해당없음,활동,2021-01-25
6153,강정초등학교,33.23652128,126.4799073,차가 다니는 길가로만 다닐 수 있음,해당없음,등교,2021-01-25
6153,강정초등학교,33.23655726,126.4798857,차가 다니는 길가로만 다닐 수 있음,해당없음,등교,2021-01-25
6153,강정초등학교,33.23667451,126.4798957,차가 다니는 길가로만 다닐 수 있음,해당없음,하교,2021-01-25
6153,강정초등학교,33.23221609,126.4793884,차가 다니는 길가로만 다닐 수 있음,해당없음,활동,2021-01-25
6153,강정초등학교,33.23210995,126.4793407,차가 다니는 길가로만 다닐 수 있음,해당없음,활동,2021-01-25
6153,강정초등학교,33.2325793,126.4794613,차가 다니는 길가로만 다닐 수 있음,해당없음,활동,2021-01-25
6154,강정초등학교,33.23351725,126.4795215,신호등이 없음,해당없음,활동,2021-01-25
6154,강정초등학교,33.24153012,126.4677223,횡단보도가 적어서 많이 돌아가야 함,해당없음,활동,2021-01-25
6157,서광초등학교,33.29866709,126.3335958,신호등이 없음,해당없음,등교,2021-01-25
6158,서광초등학교,33.28766235,126.3265848,기타,인도가 낮다,등교,2021-01-25
6159,서광초등학교,33.28853762,126.3277577,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,등교,2021-01-25
6159,서광초등학교,33.28870008,126.3277886,차가 다니는 길가로만 다닐 수 있음,해당없음,하교,2021-01-25
6161,서광초등학교,33.28565477,126.3281837,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,하교,2021-01-25
6161,서광초등학교,33.28688049,126.3289311,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,등교,2021-01-25
6161,서광초등학교,33.28692415,126.3286678,신호등이 없음,해당없음,등교,2021-01-25
6161,서광초등학교,33.28696923,126.3286674,신호등이 없음,해당없음,하교,2021-01-25
6161,서광초등학교,33.28700722,126.3281894,인도에 차가 서 있음,해당없음,등교,2021-01-25
6164,서광초등학교,33.28635033,126.3309359,길 주변에 깨진 병 조각 같은 위험한 물건이 많음,해당없음,하교,2021-01-25
6164,서광초등학교,33.28638536,126.3307424,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,하교,2021-01-25
6164,서광초등학교,33.28691536,126.3287094,신호등이 없음,해당없음,등교,2021-01-25
6164,서광초등학교,33.2862811,126.3314732,횡단보도 초록불 신호가 너무 짧음,해당없음,등교,2021-01-25
6164,서광초등학교,33.2863445,126.3315264,횡단보도 초록불 신호가 너무 짧음,해당없음,하교,2021-01-25
6166,서광초등학교,33.28389611,126.2998902,길 주변에 깨진 병 조각 같은 위험한 물건이 많음,해당없음,등교,2021-01-25
6166,서광초등학교,33.28332995,126.3014632,길 주변에 깨진 병 조각 같은 위험한 물건이 많음,해당없음,하교,2021-01-25
6166,서광초등학교,33.29017467,126.3065371,차가 다니는 길가로만 다닐 수 있음,해당없음,등교,2021-01-25
6167,안덕초등학교,33.25062489,126.3344798,신호등이 없음,해당없음,등교,2021-01-25
6168,안덕초등학교,33.25078089,126.3291146,골목 등 좁은 길에서 갑자기 차가 튀어나옴,해당없음,등교,2021-01-25
6168,안덕초등학교,33.2506275,126.3207888,횡단보도 초록불 신호가 너무 짧음,해당없음,등교,2021-01-25
6168,안덕초등학교,33.25072858,126.3261104,횡단보도 초록불 신호가 너무 짧음,해당없음,등교,2021-01-25
6168,안덕초등학교,33.25143257,126.3295818,횡단보도 초록불 신호가 너무 짧음,해당없음,하교,2021-01-25
6168,안덕초등학교,33.25066064,126.3268836,횡단보도 초록불 신호가 너무 짧음,해당없음,하교,2021-01-25
6168,안덕초등학교,33.25102848,126.3248848,횡단보도 초록불 신호가 너무 짧음,해당없음,하교,2021-01-25
6171,안덕초등학교,33.24988897,126.3361714,가게에서 놓은 물건 때문에 길을 다니기 어려움,해당없음,하교,2021-01-25
6174,안덕초등학교,33.24643756,126.331664,길가에 차들이 많이 세워져 있어 앞을 가림,해당없음,하교,2021-01-25
6174,안덕초등학교,33.24983439,126.3320835,인도에 차가 서 있음,해당없음,등교,2021-01-25
6174,안덕초등학교,33.25049492,126.3342031,인도에 차가 서 있음,해당없음,등교,2021-01-25
6174,안덕초등학교,33.24687861,126.3332058,인도에 차가 서 있음,해당없음,하교,2021-01-25
6174,안덕초등학교,33.24696922,126.335818,인도에 차가 서 있음,해당없음,활동,2021-01-25
6176,안덕초등학교,33.27082202,126.3051982,신호등이 없음,해당없음,활동,2021-01-25
6176,안덕초등학교,33.25207993,126.33344,인도에 차가 서 있음,해당없음,하교,2021-01-25
6177,안덕초등학교,33.25013813,126.3328189,차가 다니는 길가로만 다닐 수 있음,해당없음,하교,2021-01-25
6178,안덕초등학교,33.23971221,126.3658105,기타,인도가 없음,등교,2021-01-25
6178,안덕초등학교,33.24182768,126.3633918,기타,인도없음,등교,2021-01-25
